Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
118,2024-12-04 18:13:54,42.46,15.24,3.68
119,2024-12-04 18:13:55,42.82,15.24,3.68
120,2024-12-04 18:13:55,43.19,15.24,3.68
121,2024-12-04 18:13:55,43.54,15.24,3.68
122,2024-12-04 18:13:56,43.90,15.24,3.68
123,2024-12-04 18:13:56,44.26,15.24,3.68
124,2024-12-04 18:13:56,44.62,15.24,3.68
125,2024-12-04 18:13:57,44.96,15.24,3.68
126,2024-12-04 18:13:57,45.30,15.24,3.68
127,2024-12-04 18:13:57,45.64,15.24,3.68
128,2024-12-04 18:13:58,45.98,15.24,3.68
129,2024-12-04 18:13:58,46.33,15.24,3.68
130,2024-12-04 18:13:58,46.68,15.24,3.68
131,2024-12-04 18:13:59,47.03,15.24,3.68
132,2024-12-04 18:13:59,47.39,15.24,3.68
133,2024-12-04 18:14:00,47.75,15.24,3.68
134,2024-12-04 18:14:00,48.10,15.24,3.68
135,2024-12-04 18:14:00,48.44,15.24,3.68
136,2024-12-04 18:14:01,48.78,15.24,3.68
137,2024-12-04 18:14:01,49.13,15.24,3.68
138,2024-12-04 18:14:01,49.48,15.24,3.68
139,2024-12-04 18:14:02,49.84,15.24,3.68
140,2024-12-04 18:14:02,50.19,15.24,3.68
141,2024-12-04 18:14:02,50.55,15.24,3.68
142,2024-12-04 18:14:03,50.92,15.24,3.68
143,2024-12-04 18:14:03,51.28,15.24,3.68
144,2024-12-04 18:14:03,51.65,15.24,3.68
145,2024-12-04 18:14:04,52.00,15.24,3.68
146,2024-12-04 18:14:04,52.34,15.24,3.68
147,2024-12-04 18:14:04,52.69,15.24,3.68
148,2024-12-04 18:14:05,53.05,15.24,3.68
149,2024-12-04 18:14:05,53.40,15.24,3.68
150,2024-12-04 18:14:06,53.75,15.24,3.68
151,2024-12-04 18:14:06,54.11,15.24,3.68
152,2024-12-04 18:14:06,54.47,15.24,3.68
153,2024-12-04 18:14:07,54.83,15.24,3.68
154,2024-12-04 18:14:07,55.20,15.24,3.68
155,2024-12-04 18:14:07,55.56,15.24,3.68
156,2024-12-04 18:14:08,55.91,15.24,3.68
157,2024-12-04 18:14:08,56.26,15.24,3.68
158,2024-12-04 18:14:08,56.61,15.24,3.68
159,2024-12-04 18:14:09,56.96,15.24,3.68
160,2024-12-04 18:14:09,57.32,15.24,3.68
161,2024-12-04 18:14:09,57.67,15.24,3.68
162,2024-12-04 18:14:10,58.03,15.24,3.68
163,2024-12-04 18:14:10,58.38,15.24,3.68
164,2024-12-04 18:14:11,58.74,15.24,3.68
165,2024-12-04 18:14:11,59.10,15.24,3.68
166,2024-12-04 18:14:11,59.47,15.24,3.68
167,2024-12-04 18:14:12,59.82,15.24,3.68
168,2024-12-04 18:14:12,60.15,15.24,3.68
169,2024-12-04 18:14:12,60.51,15.24,3.68
170,2024-12-04 18:14:13,60.86,15.24,3.68
171,2024-12-04 18:14:13,61.20,15.24,3.68
172,2024-12-04 18:14:13,61.55,15.24,3.68
173,2024-12-04 18:14:14,61.91,15.24,3.68
174,2024-12-04 18:14:14,62.26,15.24,3.68
175,2024-12-04 18:14:14,62.62,15.24,3.68
176,2024-12-04 18:14:15,62.97,15.24,3.68
177,2024-12-04 18:14:15,63.31,15.24,3.68
178,2024-12-04 18:14:15,63.65,15.24,3.68
179,2024-12-04 18:14:16,64.01,15.24,3.68
180,2024-12-04 18:14:16,64.37,15.24,3.68
181,2024-12-04 18:14:16,64.72,15.24,3.68
182,2024-12-04 18:14:17,65.08,15.24,3.68
183,2024-12-04 18:14:17,65.41,15.24,3.68
184,2024-12-04 18:14:18,65.76,15.24,3.68
185,2024-12-04 18:14:18,66.08,15.24,3.68
186,2024-12-04 18:14:18,66.43,15.24,3.68
