Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
118,2024-12-04 17:09:04,26.30,15.24,1.84
119,2024-12-04 17:09:05,26.52,15.24,1.84
120,2024-12-04 17:09:05,26.74,15.24,1.84
121,2024-12-04 17:09:05,26.96,15.24,1.84
122,2024-12-04 17:09:05,27.18,15.24,1.84
123,2024-12-04 17:09:06,27.39,15.24,1.84
124,2024-12-04 17:09:06,27.61,15.24,1.84
125,2024-12-04 17:09:06,27.82,15.24,1.84
126,2024-12-04 17:09:06,28.03,15.24,1.84
127,2024-12-04 17:09:06,28.24,15.24,1.84
128,2024-12-04 17:09:07,28.45,15.24,1.84
129,2024-12-04 17:09:07,28.66,15.24,1.84
130,2024-12-04 17:09:07,28.87,15.24,1.84
131,2024-12-04 17:09:07,29.09,15.24,1.84
132,2024-12-04 17:09:07,29.31,15.24,1.84
133,2024-12-04 17:09:08,29.52,15.24,1.84
134,2024-12-04 17:09:08,29.74,15.24,1.84
135,2024-12-04 17:09:08,29.95,15.24,1.84
136,2024-12-04 17:09:08,30.17,15.24,1.84
137,2024-12-04 17:09:09,30.38,15.24,1.84
138,2024-12-04 17:09:09,30.61,15.24,1.84
139,2024-12-04 17:09:09,30.81,15.24,1.84
140,2024-12-04 17:09:09,31.04,15.24,1.84
141,2024-12-04 17:09:09,31.26,15.24,1.84
142,2024-12-04 17:09:10,31.48,15.24,1.84
143,2024-12-04 17:09:10,31.71,15.24,1.84
144,2024-12-04 17:09:10,31.94,15.24,1.84
145,2024-12-04 17:09:10,32.15,15.24,1.84
146,2024-12-04 17:09:10,32.36,15.24,1.84
147,2024-12-04 17:09:11,32.58,15.24,1.84
148,2024-12-04 17:09:11,32.80,15.24,1.84
149,2024-12-04 17:09:11,33.02,15.24,1.84
150,2024-12-04 17:09:11,33.23,15.24,1.84
151,2024-12-04 17:09:12,33.44,15.24,1.84
152,2024-12-04 17:09:12,33.66,15.24,1.84
153,2024-12-04 17:09:12,33.88,15.24,1.84
154,2024-12-04 17:09:12,34.10,15.24,1.84
155,2024-12-04 17:09:12,34.32,15.24,1.84
156,2024-12-04 17:09:13,34.53,15.24,1.84
157,2024-12-04 17:09:13,34.75,15.24,1.84
158,2024-12-04 17:09:13,34.96,15.24,1.84
159,2024-12-04 17:09:13,35.17,15.24,1.84
160,2024-12-04 17:09:14,35.39,15.24,1.84
161,2024-12-04 17:09:14,35.61,15.24,1.84
162,2024-12-04 17:09:14,35.82,15.24,1.84
163,2024-12-04 17:09:14,36.04,15.24,1.84
164,2024-12-04 17:09:14,36.26,15.24,1.84
165,2024-12-04 17:09:15,36.48,15.24,1.84
166,2024-12-04 17:09:15,36.70,15.24,1.84
167,2024-12-04 17:09:15,36.91,15.24,1.84
168,2024-12-04 17:09:15,37.11,15.24,1.84
169,2024-12-04 17:09:15,37.33,15.24,1.84
170,2024-12-04 17:09:16,37.53,15.24,1.84
171,2024-12-04 17:09:16,37.74,15.24,1.84
172,2024-12-04 17:09:16,37.96,15.24,1.84
173,2024-12-04 17:09:16,38.18,15.24,1.84
174,2024-12-04 17:09:17,38.39,15.24,1.84
175,2024-12-04 17:09:17,38.61,15.24,1.84
176,2024-12-04 17:09:17,38.82,15.24,1.84
177,2024-12-04 17:09:17,39.03,15.24,1.84
178,2024-12-04 17:09:17,39.24,15.24,1.84
179,2024-12-04 17:09:18,39.46,15.24,1.84
180,2024-12-04 17:09:18,39.67,15.24,1.84
181,2024-12-04 17:09:18,39.89,15.24,1.84
182,2024-12-04 17:09:18,40.12,15.24,1.84
183,2024-12-04 17:09:18,40.32,15.24,1.84
184,2024-12-04 17:09:19,40.53,15.24,1.84
185,2024-12-04 17:09:19,40.73,15.24,1.84
186,2024-12-04 17:09:19,40.93,15.24,1.84
187,2024-12-04 17:09:19,41.14,15.24,1.84
188,2024-12-04 17:09:19,41.34,15.24,1.84
189,2024-12-04 17:09:20,41.56,15.24,1.84
190,2024-12-04 17:09:20,41.77,15.24,1.84
191,2024-12-04 17:09:20,42.00,15.24,1.84
192,2024-12-04 17:09:20,42.21,15.24,1.84
193,2024-12-04 17:09:21,42.44,15.24,1.84
194,2024-12-04 17:09:21,42.66,15.24,1.84
195,2024-12-04 17:09:21,42.88,15.24,1.84
196,2024-12-04 17:09:21,43.10,15.24,1.84
197,2024-12-04 17:09:21,43.30,15.24,1.84
198,2024-12-04 17:09:22,43.52,15.24,1.84
199,2024-12-04 17:09:22,43.72,15.24,1.84
200,2024-12-04 17:09:22,43.92,15.24,1.84
201,2024-12-04 17:09:22,44.15,15.24,1.84
202,2024-12-04 17:09:22,44.36,15.24,1.84
203,2024-12-04 17:09:23,44.58,15.24,1.84
204,2024-12-04 17:09:23,44.79,15.24,1.84
205,2024-12-04 17:09:23,45.01,15.24,1.84
206,2024-12-04 17:09:23,45.23,15.24,1.84
207,2024-12-04 17:09:24,45.45,15.24,1.84
208,2024-12-04 17:09:24,45.64,15.24,1.84
209,2024-12-04 17:09:24,45.86,15.24,1.84
210,2024-12-04 17:09:24,46.07,15.24,1.84
211,2024-12-04 17:09:24,46.29,15.24,1.84
212,2024-12-04 17:09:25,46.50,15.24,1.84
213,2024-12-04 17:09:25,46.72,15.24,1.84
214,2024-12-04 17:09:25,46.92,15.24,1.84
215,2024-12-04 17:09:25,47.14,15.24,1.84
216,2024-12-04 17:09:25,47.35,15.24,1.84
217,2024-12-04 17:09:26,47.56,15.24,1.84
218,2024-12-04 17:09:26,47.77,15.24,1.84
219,2024-12-04 17:09:26,47.99,15.24,1.84
220,2024-12-04 17:09:26,48.22,15.24,1.84
221,2024-12-04 17:09:27,48.44,15.24,1.84
222,2024-12-04 17:09:27,48.64,15.24,1.84
223,2024-12-04 17:09:27,48.86,15.24,1.84
224,2024-12-04 17:09:27,49.07,15.24,1.84
225,2024-12-04 17:09:27,49.29,15.24,1.84
226,2024-12-04 17:09:28,49.51,15.24,1.84
227,2024-12-04 17:09:28,49.70,15.24,1.84
228,2024-12-04 17:09:28,49.90,15.24,1.84
