Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
118,2024-12-04 00:58:30,139.14,17.49,6.84
119,2024-12-04 00:58:31,140.31,17.49,6.84
120,2024-12-04 00:58:32,141.49,17.49,6.84
121,2024-12-04 00:58:33,142.66,17.49,6.84
122,2024-12-04 00:58:34,143.83,17.49,6.84
123,2024-12-04 00:58:36,145.01,17.49,6.84
124,2024-12-04 00:58:37,146.19,17.49,6.84
125,2024-12-04 00:58:38,147.36,17.49,6.84
126,2024-12-04 00:58:39,148.53,17.49,6.84
127,2024-12-04 00:58:40,149.70,17.49,6.84
128,2024-12-04 00:58:41,150.87,17.49,6.84
129,2024-12-04 00:58:43,152.05,17.49,6.84
130,2024-12-04 00:58:44,153.23,17.49,6.84
131,2024-12-04 00:58:45,154.40,17.49,6.84
132,2024-12-04 00:58:46,155.57,17.49,6.84
133,2024-12-04 00:58:47,156.74,17.49,6.84
134,2024-12-04 00:58:48,157.90,17.49,6.84
135,2024-12-04 00:58:50,159.07,17.49,6.84
136,2024-12-04 00:58:51,160.26,17.49,6.84
137,2024-12-04 00:58:52,161.43,17.49,6.84
138,2024-12-04 00:58:53,162.60,17.49,6.84
139,2024-12-04 00:58:54,163.77,17.49,6.84
140,2024-12-04 00:58:55,164.94,17.49,6.84
141,2024-12-04 00:58:57,166.11,17.49,6.84
142,2024-12-04 00:58:58,167.29,17.49,6.84
143,2024-12-04 00:58:59,168.47,17.49,6.84
144,2024-12-04 00:59:00,169.64,17.49,6.84
145,2024-12-04 00:59:01,170.81,17.49,6.84
146,2024-12-04 00:59:03,171.97,17.49,6.84
147,2024-12-04 00:59:04,173.16,17.49,6.84
148,2024-12-04 00:59:05,174.33,17.49,6.84
149,2024-12-04 00:59:06,175.50,17.49,6.84
150,2024-12-04 00:59:07,176.67,17.49,6.84
151,2024-12-04 00:59:08,177.84,17.49,6.84
152,2024-12-04 00:59:10,179.00,17.49,6.84
153,2024-12-04 00:59:11,180.17,17.49,6.84
154,2024-12-04 00:59:12,181.34,17.49,6.84
155,2024-12-04 00:59:13,182.51,17.49,6.84
156,2024-12-04 00:59:14,183.68,17.49,6.84
157,2024-12-04 00:59:15,184.85,17.49,6.84
158,2024-12-04 00:59:17,186.03,17.49,6.84
159,2024-12-04 00:59:18,187.21,17.49,6.84
160,2024-12-04 00:59:19,188.38,17.49,6.84
161,2024-12-04 00:59:20,189.55,17.49,6.84
162,2024-12-04 00:59:21,190.72,17.49,6.84
163,2024-12-04 00:59:22,191.89,17.49,6.84
164,2024-12-04 00:59:24,193.06,17.49,6.84
165,2024-12-04 00:59:25,194.22,17.49,6.84
166,2024-12-04 00:59:26,195.39,17.49,6.84
167,2024-12-04 00:59:27,196.55,17.49,6.84
168,2024-12-04 00:59:28,197.72,17.49,6.84
169,2024-12-04 00:59:29,198.89,17.49,6.84
170,2024-12-04 00:59:31,200.06,17.49,6.84
171,2024-12-04 00:59:32,201.23,17.49,6.84
172,2024-12-04 00:59:33,202.40,17.49,6.84
173,2024-12-04 00:59:34,203.57,17.49,6.84
174,2024-12-04 00:59:35,204.73,17.49,6.84
175,2024-12-04 00:59:36,205.90,17.49,6.84
176,2024-12-04 00:59:38,207.07,17.49,6.84
177,2024-12-04 00:59:39,208.23,17.49,6.84
178,2024-12-04 00:59:40,209.40,17.49,6.84
179,2024-12-04 00:59:41,210.57,17.49,6.84
180,2024-12-04 00:59:42,211.73,17.49,6.84
181,2024-12-04 00:59:43,212.90,17.49,6.84
182,2024-12-04 00:59:45,214.07,17.49,6.84
183,2024-12-04 00:59:46,215.24,17.49,6.84
184,2024-12-04 00:59:47,216.40,17.49,6.84
185,2024-12-04 00:59:48,217.58,17.49,6.84
186,2024-12-04 00:59:49,218.75,17.49,6.84
187,2024-12-04 00:59:50,219.93,17.49,6.84
188,2024-12-04 00:59:52,221.09,17.49,6.84
189,2024-12-04 00:59:53,222.26,17.49,6.84
190,2024-12-04 00:59:54,223.43,17.49,6.84
191,2024-12-04 00:59:55,224.59,17.49,6.84
192,2024-12-04 00:59:56,225.77,17.49,6.84
193,2024-12-04 00:59:57,226.94,17.49,6.84
194,2024-12-04 00:59:59,228.11,17.49,6.84
195,2024-12-04 01:00:00,229.27,17.49,6.84
196,2024-12-04 01:00:01,230.44,17.49,6.84
197,2024-12-04 01:00:02,231.61,17.49,6.84
198,2024-12-04 01:00:03,232.78,17.49,6.84
199,2024-12-04 01:00:04,233.94,17.49,6.84
200,2024-12-04 01:00:06,235.11,17.49,6.84
201,2024-12-04 01:00:07,236.27,17.49,6.84
202,2024-12-04 01:00:08,237.45,17.49,6.84
203,2024-12-04 01:00:09,238.62,17.49,6.84
204,2024-12-04 01:00:10,239.78,17.49,6.84
205,2024-12-04 01:00:11,240.95,17.49,6.84
206,2024-12-04 01:00:13,242.11,17.49,6.84
207,2024-12-04 01:00:14,243.29,17.49,6.84
208,2024-12-04 01:00:15,244.46,17.49,6.84
209,2024-12-04 01:00:16,245.64,17.49,6.84
210,2024-12-04 01:00:17,246.81,17.49,6.84
211,2024-12-04 01:00:19,247.98,17.49,6.84
212,2024-12-04 01:00:20,249.15,17.49,6.84
213,2024-12-04 01:00:21,250.32,17.49,6.84
214,2024-12-04 01:00:22,251.48,17.49,6.84
215,2024-12-04 01:00:23,252.65,17.49,6.84
216,2024-12-04 01:00:24,253.81,17.49,6.84
217,2024-12-04 01:00:26,254.99,17.49,6.84
218,2024-12-04 01:00:27,256.15,17.49,6.84
219,2024-12-04 01:00:28,257.33,17.49,6.84
220,2024-12-04 01:00:29,258.50,17.49,6.84
221,2024-12-04 01:00:30,259.66,17.49,6.84
222,2024-12-04 01:00:31,260.83,17.49,6.84
223,2024-12-04 01:00:33,262.01,17.49,6.84
224,2024-12-04 01:00:34,263.18,17.49,6.84
225,2024-12-04 01:00:35,264.35,17.49,6.84
226,2024-12-04 01:00:36,265.53,17.49,6.84
227,2024-12-04 01:00:37,266.69,17.49,6.84
228,2024-12-04 01:00:38,267.86,17.49,6.84
