Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
118,2024-12-04 04:02:39,114.55,17.49,5.09
119,2024-12-04 04:02:40,115.50,17.49,5.09
120,2024-12-04 04:02:41,116.47,17.49,5.09
121,2024-12-04 04:02:42,117.43,17.49,5.09
122,2024-12-04 04:02:43,118.39,17.49,5.09
123,2024-12-04 04:02:44,119.36,17.49,5.09
124,2024-12-04 04:02:45,120.33,17.49,5.09
125,2024-12-04 04:02:46,121.29,17.49,5.09
126,2024-12-04 04:02:47,122.26,17.49,5.09
127,2024-12-04 04:02:48,123.23,17.49,5.09
128,2024-12-04 04:02:49,124.19,17.49,5.09
129,2024-12-04 04:02:50,125.15,17.49,5.09
130,2024-12-04 04:02:51,126.12,17.49,5.09
131,2024-12-04 04:02:52,127.08,17.49,5.09
132,2024-12-04 04:02:53,128.04,17.49,5.09
133,2024-12-04 04:02:54,129.00,17.49,5.09
134,2024-12-04 04:02:55,129.96,17.49,5.09
135,2024-12-04 04:02:56,130.92,17.49,5.09
136,2024-12-04 04:02:57,131.88,17.49,5.09
137,2024-12-04 04:02:58,132.85,17.49,5.09
138,2024-12-04 04:02:59,133.81,17.49,5.09
139,2024-12-04 04:03:00,134.77,17.49,5.09
140,2024-12-04 04:03:01,135.73,17.49,5.09
141,2024-12-04 04:03:02,136.69,17.49,5.09
142,2024-12-04 04:03:02,137.65,17.49,5.09
143,2024-12-04 04:03:03,138.61,17.49,5.09
144,2024-12-04 04:03:04,139.57,17.49,5.09
145,2024-12-04 04:03:05,140.53,17.49,5.09
146,2024-12-04 04:03:06,141.48,17.49,5.09
147,2024-12-04 04:03:07,142.45,17.49,5.09
148,2024-12-04 04:03:08,143.42,17.49,5.09
149,2024-12-04 04:03:09,144.38,17.49,5.09
150,2024-12-04 04:03:10,145.34,17.49,5.09
151,2024-12-04 04:03:11,146.30,17.49,5.09
152,2024-12-04 04:03:12,147.27,17.49,5.09
153,2024-12-04 04:03:13,148.24,17.49,5.09
154,2024-12-04 04:03:14,149.19,17.49,5.09
155,2024-12-04 04:03:15,150.16,17.49,5.09
156,2024-12-04 04:03:16,151.12,17.49,5.09
157,2024-12-04 04:03:17,152.08,17.49,5.09
158,2024-12-04 04:03:18,153.05,17.49,5.09
159,2024-12-04 04:03:19,154.02,17.49,5.09
160,2024-12-04 04:03:20,154.97,17.49,5.09
161,2024-12-04 04:03:21,155.93,17.49,5.09
162,2024-12-04 04:03:22,156.90,17.49,5.09
163,2024-12-04 04:03:23,157.87,17.49,5.09
164,2024-12-04 04:03:24,158.83,17.49,5.09
165,2024-12-04 04:03:25,159.79,17.49,5.09
166,2024-12-04 04:03:26,160.75,17.49,5.09
167,2024-12-04 04:03:27,161.72,17.49,5.09
168,2024-12-04 04:03:27,162.68,17.49,5.09
169,2024-12-04 04:03:28,163.64,17.49,5.09
170,2024-12-04 04:03:29,164.60,17.49,5.09
171,2024-12-04 04:03:30,165.57,17.49,5.09
172,2024-12-04 04:03:31,166.54,17.49,5.09
173,2024-12-04 04:03:32,167.50,17.49,5.09
174,2024-12-04 04:03:33,168.46,17.49,5.09
175,2024-12-04 04:03:34,169.42,17.49,5.09
176,2024-12-04 04:03:35,170.38,17.49,5.09
177,2024-12-04 04:03:36,171.35,17.49,5.09
178,2024-12-04 04:03:37,172.31,17.49,5.09
179,2024-12-04 04:03:38,173.27,17.49,5.09
180,2024-12-04 04:03:39,174.23,17.49,5.09
181,2024-12-04 04:03:40,175.20,17.49,5.09
182,2024-12-04 04:03:41,176.17,17.49,5.09
183,2024-12-04 04:03:42,177.12,17.49,5.09
184,2024-12-04 04:03:43,178.07,17.49,5.09
185,2024-12-04 04:03:44,179.05,17.49,5.09
